Train Size,Test Size,Train Score R_square,Test Score R_square
199,195,0.902189249233634,0.8243431498167229
394,195,0.8938071324641883,0.8200321382360504
589,195,0.8795564819159496,0.7992785199532481
784,195,0.8661144236187639,0.8563773243595697
979,195,0.8661226812058453,0.8441038039632001
1174,195,0.8651178507749306,0.8542388672271144
1369,195,0.8643437363231509,0.8188275010879242
1564,195,0.8625967535488592,0.7530381183249428
1759,195,0.8561680069228917,0.6701917055406372
1954,195,0.8507076370667465,0.726538613996018
